                  id                  |   country   |        state        |            county             |            city            | longitude | latitude |              parent_id               
 9cc02371-1e58-4b32-ae66-6fa7efaf4a89 | Deutschland | Nordrhein-Westfalen | Kreis Recklinghausen          |                            |     7.146 |   51.671 | 0c31eb9f-0aae-4cd2-8466-bd508923d2ec
 b11c255f-e6f9-4d68-a7df-e3a3b48218a7 | Deutschland | Nordrhein-Westfalen | Kreis Recklinghausen          | Haltern am See             |     7.180 |   51.758 | 9cc02371-1e58-4b32-ae66-6fa7efaf4a89
 77fb5345-138f-46ca-a3d4-8f7875f8e791 | Deutschland | Niedersachsen       | Landkreis Emsland             | Dohren                     |     7.588 |   52.634 | fef69f68-470a-4c20-996c-2360ee1399ec
 6660f9f8-9d22-4ba7-84a0-fb3005912fdf | Deutschland | Niedersachsen       | Landkreis Cloppenburg         |                            |     7.962 |   52.932 | 4478acee-0196-4b69-9cde-6a5806d09ae4
 8b83c9af-d6bb-4e4c-b6c3-11fef37eb6e3 | Deutschland | Niedersachsen       | Landkreis Cloppenburg         | Saterland - Seelterlound   |     7.691 |   53.103 | 6660f9f8-9d22-4ba7-84a0-fb3005912fdf
 a4361bce-5434-4a11-81e3-cd8ccfd24d1a | Deutschland | Nordrhein-Westfalen | Kreis Soest                   | Möhnesee                   |     8.114 |   51.478 | 1330c86a-de71-4767-a6b9-54e04e0876c6
 b2a78837-5577-48a2-a464-a238c39a59b3 | Deutschland | Niedersachsen       | Landkreis Emsland             | Lähden                     |     7.593 |   52.748 | fef69f68-470a-4c20-996c-2360ee1399ec
 ca020ea3-3ee5-458e-93cc-602043ea6f63 | Deutschland | Nordrhein-Westfalen | Kreis Warendorf               | Drensteinfurt              |     7.743 |   51.801 | b91b5153-cbe5-4db5-bea1-8304731120e1
 39ab5fa4-4b4b-4dd3-83d8-b8a264894837 | Deutschland | Nordrhein-Westfalen | Kreis Steinfurt               |                            |     7.512 |   52.235 | 0c31eb9f-0aae-4cd2-8466-bd508923d2ec
 c9b5a6ec-074f-4372-b9fd-f41b8acce608 | Deutschland | Nordrhein-Westfalen | Kreis Steinfurt               | Lotte                      |     7.922 |   52.299 | 39ab5fa4-4b4b-4dd3-83d8-b8a264894837
 5a7f3522-e30a-4b1e-8532-84cf3a5923be | Deutschland | Nordrhein-Westfalen | Kreis Coesfeld                | Nordkirchen                |     7.525 |   51.738 | 3b43203d-bba0-499f-8bb9-039f4a8b0fa6
 a3cb1d5d-84cb-4245-9060-90fcff1f7b81 | Deutschland | Niedersachsen       | Landkreis Emsland             | Lünne                      |     7.425 |   52.432 | fef69f68-470a-4c20-996c-2360ee1399ec
 68d1c846-ba97-4d58-8f5b-cab223a88131 | Deutschland | Nordrhein-Westfalen | Kreis Warendorf               | Ostbevern                  |     7.840 |   52.036 | b91b5153-cbe5-4db5-bea1-8304731120e1
 ea18f2c8-10bc-4103-a8ee-e7718dd1c170 | Deutschland | Niedersachsen       | Landkreis Osnabrück           | Neuenkirchen               |     7.840 |   52.417 | b9c185e2-102e-4a34-b469-ccaf55c69b17
 26fb6188-457f-4f32-a20a-6e2ddbd5f36c | Deutschland | Niedersachsen       | Landkreis Oldenburg           | Dötlingen                  |     8.382 |   52.936 | 3453dce8-d1a8-4057-bd6d-db872889eebf
 946b30e1-1822-4dda-903b-7036c155866d | Deutschland | Niedersachsen       | Landkreis Emsland             | Spelle                     |     7.467 |   52.367 | fef69f68-470a-4c20-996c-2360ee1399ec
 e62ae20b-543e-444e-b539-fcbbf65bbb37 | Deutschland | Nordrhein-Westfalen | Kreis Warendorf               | Oelde                      |     8.145 |   51.826 | b91b5153-cbe5-4db5-bea1-8304731120e1
